unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HJK;janeiro;2019;I;0 a 5;9,3;4,0;0;0,37
HJK;janeiro;2019;II;6 a 10;55,9;0,0;0;0,0
HJK;janeiro;2019;III;11 a 5 ;73,1;0,0;0;0,0
HJK;janeiro;2019;IV;> 15;100,0;0,0;0;0,0
HJK;fevereiro;2019;I;0 a 5;9,3;3,0;0;0,28
HJK;fevereiro;2019;II;6 a 10;55,9;0,0;0;0,0
HJK;fevereiro;2019;III;11 a 5 ;73,1;3,0;0;2,19
HJK;fevereiro;2019;IV;> 15;100,0;0,0;0;0,0
HJK;mar̤o;2019;I;0 a 5;9,3;2,0;0;0,19
HJK;mar̤o;2019;II;6 a 10;55,9;2,0;0;1,12
HJK;mar̤o;2019;III;11 a 5 ;73,1;0,0;0;0,0
HJK;mar̤o;2019;IV;> 15;100,0;0,0;0;0,0
HJK;abril;2019;I;0 a 5;9,3;1,0;0;0,09
HJK;abril;2019;II;6 a 10;55,9;2,0;1;1,12
HJK;abril;2019;III;11 a 5 ;73,1;0,0;0;0,0
HJK;abril;2019;IV;> 15;100,0;0,0;0;0,0
HJK;maio;2019;I;0 a 5;9,3;2,0;0;0,19
HJK;maio;2019;II;6 a 10;55,9;2,0;0;1,12
HJK;maio;2019;III;11 a 5 ;73,1;2,0;1;1,46
HJK;maio;2019;IV;> 15;100,0;0,0;0;0,0
HJK;junho;2019;I;0 a 5;9,3;1,0;0;0,09
HJK;junho;2019;II;6 a 10;55,9;2,0;0;1,12
HJK;junho;2019;III;11 a 5 ;73,1;0,0;0;0,0
HJK;junho;2019;IV;> 15;100,0;0,0;0;0,0
HJK;julho;2019;I;0 a 5;9,3;0,0;0;0,0
HJK;julho;2019;II;6 a 10;55,9;1,0;0;0,56
HJK;julho;2019;III;11 a 5 ;73,1;0,0;0;0,0
HJK;julho;2019;IV;> 15;100,0;0,0;0;0,0
HJK;agosto;2019;I;0 a 5;9,3;0,0;0;0,0
HJK;agosto;2019;II;6 a 10;55,9;0,0;0;0,0
HJK;agosto;2019;III;11 a 5 ;73,1;0,0;0;0,0
HJK;agosto;2019;IV;> 15;100,0;0,0;0;0,0
HJK;setembro;2019;I;0 a 5;9,3;1,0;0;0,09
HJK;setembro;2019;II;6 a 10;55,9;1,0;0;0,56
HJK;setembro;2019;III;11 a 5 ;73,1;2,0;1;1,46
HJK;setembro;2019;IV;> 15;100,0;1,0;1;1,0
HJK;outubro;2019;I;0 a 5;9,3;0,0;0;0,0
HJK;outubro;2019;II;6 a 10;55,9;1,0;0;0,56
HJK;outubro;2019;III;11 a 5 ;73,1;1,0;0;0,73
HJK;outubro;2019;IV;> 15;100,0;0,0;0;0,0
HJK;novembro;2019;I;0 a 5;9,3;3,0;0;0,28
HJK;novembro;2019;II;6 a 10;55,9;0,0;0;0,0
HJK;novembro;2019;III;11 a 5 ;73,1;3,0;1;2,19
HJK;novembro;2019;IV;> 15;100,0;0,0;0;0,0
HJK;dezembro;2019;I;0 a 5;9,3;0,0;0;0,0
HJK;dezembro;2019;II;6 a 10;55,9;1,0;0;0,56
HJK;dezembro;2019;III;11 a 5 ;73,1;2,0;0;1,46
HJK;dezembro;2019;IV;> 15;100,0;0,0;0;0,0
HRAD;janeiro;2019;I;0 a 5;9,3;9,0;0;0,84
HRAD;janeiro;2019;II;6 a 10;55,9;3,0;0;1,68
HRAD;janeiro;2019;III;11 a 5 ;73,1;1,0;0;0,73
HRAD;janeiro;2019;IV;> 15;100,0;0,0;0;0,0
HRAD;fevereiro;2019;I;0 a 5;9,3;3,0;0;0,28
HRAD;fevereiro;2019;II;6 a 10;55,9;3,0;1;1,68
HRAD;fevereiro;2019;III;11 a 5 ;73,1;;0;0,0
HRAD;fevereiro;2019;IV;> 15;100,0;0,0;0;0,0
HRAD;mar̤o;2019;I;0 a 5;9,3;6,0;0;0,56
HRAD;mar̤o;2019;II;6 a 10;55,9;2,0;1;1,12
